Cell_Index,Sample_Tag,Sample_Name
484177,SampleTag03_hs,SampleTag03_hs
89429,Multiplet,Multiplet
578293,SampleTag03_hs,SampleTag03_hs
5703,Multiplet,Multiplet
455421,SampleTag02_hs,SampleTag02_hs
550694,SampleTag02_hs,SampleTag02_hs
199243,Multiplet,Multiplet
18384,SampleTag01_hs,SampleTag01_hs
681717,Multiplet,Multiplet
145308,Multiplet,Multiplet
448704,SampleTag03_hs,SampleTag03_hs
75462,Multiplet,Multiplet
214189,Multiplet,Multiplet
17316,SampleTag03_hs,SampleTag03_hs
268505,SampleTag02_hs,SampleTag02_hs
576714,SampleTag03_hs,SampleTag03_hs
404313,Multiplet,Multiplet
16763,SampleTag03_hs,SampleTag03_hs
616488,Multiplet,Multiplet
589220,SampleTag02_hs,SampleTag02_hs
9040,Multiplet,Multiplet
472593,Multiplet,Multiplet
65249,SampleTag03_hs,SampleTag03_hs
79353,SampleTag01_hs,SampleTag01_hs
500418,SampleTag03_hs,SampleTag03_hs
579551,Multiplet,Multiplet
580734,SampleTag01_hs,SampleTag01_hs
472336,SampleTag02_hs,SampleTag02_hs
587094,Multiplet,Multiplet
412696,SampleTag03_hs,SampleTag03_hs
574273,Multiplet,Multiplet
527486,SampleTag01_hs,SampleTag01_hs
268144,SampleTag03_hs,SampleTag03_hs
605167,Multiplet,Multiplet
355399,Multiplet,Multiplet
275522,Multiplet,Multiplet
279809,Multiplet,Multiplet
202705,SampleTag02_hs,SampleTag02_hs
450850,Multiplet,Multiplet
544550,Multiplet,Multiplet
190486,Multiplet,Multiplet
13452,SampleTag02_hs,SampleTag02_hs
250264,SampleTag02_hs,SampleTag02_hs
81435,Multiplet,Multiplet
482428,Multiplet,Multiplet
572077,Multiplet,Multiplet
814493,Multiplet,Multiplet
504396,Multiplet,Multiplet
863410,Multiplet,Multiplet
589234,SampleTag02_hs,SampleTag02_hs
505364,SampleTag03_hs,SampleTag03_hs
372974,Multiplet,Multiplet
502520,SampleTag02_hs,SampleTag02_hs
587554,SampleTag02_hs,SampleTag02_hs
809903,Multiplet,Multiplet
611665,Multiplet,Multiplet
632549,Multiplet,Multiplet
589581,SampleTag02_hs,SampleTag02_hs
459898,SampleTag03_hs,SampleTag03_hs
414254,Multiplet,Multiplet
554577,Multiplet,Multiplet
59207,SampleTag02_hs,SampleTag02_hs
80735,SampleTag02_hs,SampleTag02_hs
257241,SampleTag01_hs,SampleTag01_hs
590251,SampleTag01_hs,SampleTag01_hs
580733,Multiplet,Multiplet
507820,Multiplet,Multiplet
614444,Multiplet,Multiplet
356818,SampleTag03_hs,SampleTag03_hs
1920,Multiplet,Multiplet
620299,Multiplet,Multiplet
394632,SampleTag01_hs,SampleTag01_hs
451122,SampleTag02_hs,SampleTag02_hs
816399,Multiplet,Multiplet
73186,Multiplet,Multiplet
704907,SampleTag03_hs,SampleTag03_hs
551386,Multiplet,Multiplet
265933,SampleTag02_hs,SampleTag02_hs
454792,SampleTag01_hs,SampleTag01_hs
330139,SampleTag03_hs,SampleTag03_hs
108526,Multiplet,Multiplet
477887,Multiplet,Multiplet
24602,SampleTag03_hs,SampleTag03_hs
351888,Multiplet,Multiplet
109505,Multiplet,Multiplet
59594,Multiplet,Multiplet
585353,SampleTag03_hs,SampleTag03_hs
779526,Multiplet,Multiplet
519067,Multiplet,Multiplet
396961,Multiplet,Multiplet
457788,SampleTag01_hs,SampleTag01_hs
11816,Multiplet,Multiplet
560991,Multiplet,Multiplet
472488,SampleTag01_hs,SampleTag01_hs
555582,Multiplet,Multiplet
556260,Multiplet,Multiplet
712387,SampleTag03_hs,SampleTag03_hs
359183,SampleTag03_hs,SampleTag03_hs
207624,SampleTag03_hs,SampleTag03_hs
457153,Multiplet,Multiplet
815390,Multiplet,Multiplet
411737,Multiplet,Multiplet
544156,SampleTag03_hs,SampleTag03_hs
564017,Multiplet,Multiplet
356478,Multiplet,Multiplet
270477,SampleTag03_hs,SampleTag03_hs
61670,SampleTag01_hs,SampleTag01_hs
262438,Multiplet,Multiplet
19576,Multiplet,Multiplet
405407,SampleTag01_hs,SampleTag01_hs
2673,Multiplet,Multiplet
567815,Multiplet,Multiplet
554373,SampleTag01_hs,SampleTag01_hs
431718,SampleTag03_hs,SampleTag03_hs
462297,SampleTag03_hs,SampleTag03_hs
298644,Multiplet,Multiplet
37216,Multiplet,Multiplet
210746,SampleTag01_hs,SampleTag01_hs
533928,SampleTag03_hs,SampleTag03_hs
839212,SampleTag03_hs,SampleTag03_hs
260751,Multiplet,Multiplet
736860,SampleTag01_hs,SampleTag01_hs
105175,Multiplet,Multiplet
256550,SampleTag03_hs,SampleTag03_hs
714059,SampleTag03_hs,SampleTag03_hs
375346,Multiplet,Multiplet
711986,SampleTag01_hs,SampleTag01_hs
57411,Multiplet,Multiplet
610799,SampleTag03_hs,SampleTag03_hs
348790,Multiplet,Multiplet
357252,Multiplet,Multiplet
405900,Multiplet,Multiplet
474307,Multiplet,Multiplet
105819,Multiplet,Multiplet
90968,Multiplet,Multiplet
108895,Multiplet,Multiplet
2069,Multiplet,Multiplet
79468,Multiplet,Multiplet
814278,SampleTag02_hs,SampleTag02_hs
462025,Multiplet,Multiplet
358630,Multiplet,Multiplet
497825,Multiplet,Multiplet
611370,SampleTag03_hs,SampleTag03_hs
675459,Multiplet,Multiplet
577344,Multiplet,Multiplet
267108,SampleTag03_hs,SampleTag03_hs
435006,Multiplet,Multiplet
818217,Multiplet,Multiplet
619948,Multiplet,Multiplet
456639,SampleTag03_hs,SampleTag03_hs
146500,SampleTag02_hs,SampleTag02_hs
260094,SampleTag02_hs,SampleTag02_hs
558186,SampleTag03_hs,SampleTag03_hs
739024,Multiplet,Multiplet
546955,SampleTag03_hs,SampleTag03_hs
204101,SampleTag03_hs,SampleTag03_hs
141089,Multiplet,Multiplet
540334,Multiplet,Multiplet
161334,Multiplet,Multiplet
5488,SampleTag03_hs,SampleTag03_hs
57251,SampleTag03_hs,SampleTag03_hs
586796,Multiplet,Multiplet
324708,SampleTag02_hs,SampleTag02_hs
353378,SampleTag01_hs,SampleTag01_hs
74342,SampleTag01_hs,SampleTag01_hs
460371,Undetermined,Undetermined
415663,Multiplet,Multiplet
203066,SampleTag03_hs,SampleTag03_hs
197069,Multiplet,Multiplet
138998,Multiplet,Multiplet
1114,SampleTag02_hs,SampleTag02_hs
49662,SampleTag03_hs,SampleTag03_hs
272903,SampleTag02_hs,SampleTag02_hs
485476,Multiplet,Multiplet
878702,Multiplet,Multiplet
309201,Multiplet,Multiplet
799697,Multiplet,Multiplet
61506,Multiplet,Multiplet
339301,SampleTag02_hs,SampleTag02_hs
235026,Multiplet,Multiplet
191058,Multiplet,Multiplet
280372,SampleTag01_hs,SampleTag01_hs
75288,SampleTag01_hs,SampleTag01_hs
443589,SampleTag03_hs,SampleTag03_hs
501888,Multiplet,Multiplet
70287,Multiplet,Multiplet
563108,Multiplet,Multiplet
552082,Multiplet,Multiplet
558047,SampleTag03_hs,SampleTag03_hs
105326,SampleTag01_hs,SampleTag01_hs
488403,Multiplet,Multiplet
295819,SampleTag01_hs,SampleTag01_hs
302791,Multiplet,Multiplet
17354,Multiplet,Multiplet
17150,SampleTag01_hs,SampleTag01_hs
523594,SampleTag03_hs,SampleTag03_hs
356015,SampleTag02_hs,SampleTag02_hs
16234,SampleTag03_hs,SampleTag03_hs
498600,SampleTag01_hs,SampleTag01_hs
269662,Multiplet,Multiplet
222162,Multiplet,Multiplet
616235,Multiplet,Multiplet
529152,Multiplet,Multiplet
563050,Multiplet,Multiplet
477650,Undetermined,Undetermined
602006,Multiplet,Multiplet
657462,Multiplet,Multiplet
589476,Multiplet,Multiplet
417363,Multiplet,Multiplet
656554,Multiplet,Multiplet
7380,Multiplet,Multiplet
452506,SampleTag03_hs,SampleTag03_hs
446257,Multiplet,Multiplet
462709,SampleTag02_hs,SampleTag02_hs
392030,Multiplet,Multiplet
343902,SampleTag02_hs,SampleTag02_hs
458943,SampleTag02_hs,SampleTag02_hs
455049,Multiplet,Multiplet
261306,Multiplet,Multiplet
57162,Multiplet,Multiplet
152764,Multiplet,Multiplet
353539,SampleTag03_hs,SampleTag03_hs
462770,Multiplet,Multiplet
63296,Multiplet,Multiplet
583228,Multiplet,Multiplet
576226,Multiplet,Multiplet
411681,Multiplet,Multiplet
311028,Multiplet,Multiplet
443756,Multiplet,Multiplet
520524,Multiplet,Multiplet
32977,Multiplet,Multiplet
613139,SampleTag02_hs,SampleTag02_hs
542625,SampleTag01_hs,SampleTag01_hs
498755,SampleTag03_hs,SampleTag03_hs
851105,Multiplet,Multiplet
138580,Multiplet,Multiplet
257624,Multiplet,Multiplet
777018,Multiplet,Multiplet
448931,Multiplet,Multiplet
536560,Multiplet,Multiplet
575305,Multiplet,Multiplet
231277,Multiplet,Multiplet
86209,SampleTag03_hs,SampleTag03_hs
186859,SampleTag02_hs,SampleTag02_hs
563029,SampleTag03_hs,SampleTag03_hs
541639,SampleTag02_hs,SampleTag02_hs
446166,SampleTag03_hs,SampleTag03_hs
253510,Multiplet,Multiplet
481598,Multiplet,Multiplet
475034,SampleTag02_hs,SampleTag02_hs
200093,Multiplet,Multiplet
12241,SampleTag01_hs,SampleTag01_hs
551169,SampleTag03_hs,SampleTag03_hs
317939,SampleTag03_hs,SampleTag03_hs
813641,Multiplet,Multiplet
7461,SampleTag03_hs,SampleTag03_hs
457773,SampleTag03_hs,SampleTag03_hs
617699,SampleTag02_hs,SampleTag02_hs
229331,SampleTag03_hs,SampleTag03_hs
7739,SampleTag02_hs,SampleTag02_hs
140215,Multiplet,Multiplet
86159,SampleTag02_hs,SampleTag02_hs
2574,SampleTag01_hs,SampleTag01_hs
795645,Multiplet,Multiplet
521412,Multiplet,Multiplet
348722,SampleTag03_hs,SampleTag03_hs
708026,Multiplet,Multiplet
167958,SampleTag02_hs,SampleTag02_hs
195891,Multiplet,Multiplet
582255,Multiplet,Multiplet
211676,SampleTag03_hs,SampleTag03_hs
305272,SampleTag02_hs,SampleTag02_hs
197814,Multiplet,Multiplet
49600,Multiplet,Multiplet
407712,Multiplet,Multiplet
620939,SampleTag02_hs,SampleTag02_hs
146645,SampleTag01_hs,SampleTag01_hs
92004,SampleTag03_hs,SampleTag03_hs
473331,Multiplet,Multiplet
251905,Multiplet,Multiplet
221986,Multiplet,Multiplet
565855,Multiplet,Multiplet
1189,Multiplet,Multiplet
487759,SampleTag02_hs,SampleTag02_hs
449594,Multiplet,Multiplet
613638,SampleTag03_hs,SampleTag03_hs
587994,SampleTag01_hs,SampleTag01_hs
353418,SampleTag01_hs,SampleTag01_hs
82779,SampleTag03_hs,SampleTag03_hs
658382,Multiplet,Multiplet
469946,SampleTag02_hs,SampleTag02_hs
202995,Multiplet,Multiplet
453478,SampleTag03_hs,SampleTag03_hs
254955,SampleTag01_hs,SampleTag01_hs
238510,Multiplet,Multiplet
616044,SampleTag02_hs,SampleTag02_hs
12271,SampleTag02_hs,SampleTag02_hs
566000,SampleTag03_hs,SampleTag03_hs
80392,SampleTag02_hs,SampleTag02_hs
453329,SampleTag03_hs,SampleTag03_hs
397707,SampleTag02_hs,SampleTag02_hs
403782,SampleTag01_hs,SampleTag01_hs
77015,SampleTag02_hs,SampleTag02_hs
445563,SampleTag02_hs,SampleTag02_hs
654461,Multiplet,Multiplet
601820,Multiplet,Multiplet
207541,SampleTag02_hs,SampleTag02_hs
459203,SampleTag03_hs,SampleTag03_hs
556213,SampleTag03_hs,SampleTag03_hs
456269,Multiplet,Multiplet
583951,SampleTag01_hs,SampleTag01_hs
428572,SampleTag03_hs,SampleTag03_hs
157011,SampleTag02_hs,SampleTag02_hs
303326,Multiplet,Multiplet
49641,Multiplet,Multiplet
269827,Multiplet,Multiplet
609764,Multiplet,Multiplet
779547,SampleTag03_hs,SampleTag03_hs
148688,SampleTag02_hs,SampleTag02_hs
351983,Multiplet,Multiplet
432946,SampleTag01_hs,SampleTag01_hs
534857,SampleTag02_hs,SampleTag02_hs
310959,SampleTag03_hs,SampleTag03_hs
250363,Multiplet,Multiplet
589490,SampleTag01_hs,SampleTag01_hs
166765,Multiplet,Multiplet
138377,Multiplet,Multiplet
20033,SampleTag01_hs,SampleTag01_hs
461936,SampleTag03_hs,SampleTag03_hs
565993,SampleTag03_hs,SampleTag03_hs
818889,Multiplet,Multiplet
471147,SampleTag03_hs,SampleTag03_hs
105291,SampleTag01_hs,SampleTag01_hs
636120,Multiplet,Multiplet
399943,SampleTag03_hs,SampleTag03_hs
36410,Multiplet,Multiplet
144552,SampleTag03_hs,SampleTag03_hs
203235,Multiplet,Multiplet
204881,SampleTag03_hs,SampleTag03_hs
596125,Multiplet,Multiplet
846000,Multiplet,Multiplet
563504,Multiplet,Multiplet
347255,SampleTag02_hs,SampleTag02_hs
271706,Multiplet,Multiplet
444147,Multiplet,Multiplet
557369,SampleTag03_hs,SampleTag03_hs
64268,Multiplet,Multiplet
537789,SampleTag02_hs,SampleTag02_hs
516908,SampleTag01_hs,SampleTag01_hs
35913,Multiplet,Multiplet
629142,Multiplet,Multiplet
587637,SampleTag03_hs,SampleTag03_hs
230134,SampleTag02_hs,SampleTag02_hs
196087,Multiplet,Multiplet
700612,Multiplet,Multiplet
798452,SampleTag03_hs,SampleTag03_hs
511658,SampleTag03_hs,SampleTag03_hs
567349,SampleTag01_hs,SampleTag01_hs
573419,Multiplet,Multiplet
40881,Multiplet,Multiplet
508596,Multiplet,Multiplet
11759,SampleTag02_hs,SampleTag02_hs
102801,Multiplet,Multiplet
551179,Multiplet,Multiplet
587085,SampleTag03_hs,SampleTag03_hs
129548,Multiplet,Multiplet
270419,Multiplet,Multiplet
23789,SampleTag02_hs,SampleTag02_hs
554596,SampleTag03_hs,SampleTag03_hs
655501,SampleTag03_hs,SampleTag03_hs
13511,Multiplet,Multiplet
694115,SampleTag03_hs,SampleTag03_hs
588986,SampleTag02_hs,SampleTag02_hs
581679,SampleTag03_hs,SampleTag03_hs
557835,SampleTag02_hs,SampleTag02_hs
524225,Multiplet,Multiplet
375690,Multiplet,Multiplet
423921,SampleTag03_hs,SampleTag03_hs
563188,SampleTag01_hs,SampleTag01_hs
141250,Multiplet,Multiplet
416333,SampleTag01_hs,SampleTag01_hs
351466,SampleTag03_hs,SampleTag03_hs
81555,SampleTag02_hs,SampleTag02_hs
501117,Multiplet,Multiplet
451820,Multiplet,Multiplet
500112,Multiplet,Multiplet
187651,Multiplet,Multiplet
469657,SampleTag02_hs,SampleTag02_hs
478771,SampleTag03_hs,SampleTag03_hs
174682,SampleTag03_hs,SampleTag03_hs
515191,Multiplet,Multiplet
568369,SampleTag03_hs,SampleTag03_hs
588895,SampleTag01_hs,SampleTag01_hs
459519,SampleTag01_hs,SampleTag01_hs
111779,Multiplet,Multiplet
620254,SampleTag03_hs,SampleTag03_hs
64423,Multiplet,Multiplet
99374,Multiplet,Multiplet
589821,SampleTag03_hs,SampleTag03_hs
472425,SampleTag01_hs,SampleTag01_hs
577142,SampleTag02_hs,SampleTag02_hs
779699,Multiplet,Multiplet
353790,Multiplet,Multiplet
652082,Multiplet,Multiplet
259052,Multiplet,Multiplet
523512,SampleTag03_hs,SampleTag03_hs
620038,Multiplet,Multiplet
86072,SampleTag03_hs,SampleTag03_hs
412985,Multiplet,Multiplet
468221,Multiplet,Multiplet
77991,Multiplet,Multiplet
5192,SampleTag03_hs,SampleTag03_hs
366952,Multiplet,Multiplet
444324,Multiplet,Multiplet
853835,Multiplet,Multiplet
447321,SampleTag01_hs,SampleTag01_hs
462189,Multiplet,Multiplet
42871,Multiplet,Multiplet
236295,SampleTag03_hs,SampleTag03_hs
76107,SampleTag03_hs,SampleTag03_hs
121136,Multiplet,Multiplet
783273,SampleTag03_hs,SampleTag03_hs
563270,Multiplet,Multiplet
112917,Multiplet,Multiplet
572313,Multiplet,Multiplet
587879,SampleTag03_hs,SampleTag03_hs
266292,SampleTag03_hs,SampleTag03_hs
479176,Multiplet,Multiplet
779211,SampleTag01_hs,SampleTag01_hs
660209,SampleTag01_hs,SampleTag01_hs
857640,SampleTag03_hs,SampleTag03_hs
477558,Multiplet,Multiplet
356482,SampleTag01_hs,SampleTag01_hs
467207,SampleTag03_hs,SampleTag03_hs
574091,SampleTag03_hs,SampleTag03_hs
82687,Multiplet,Multiplet
352966,SampleTag03_hs,SampleTag03_hs
497674,SampleTag02_hs,SampleTag02_hs
78226,Multiplet,Multiplet
778470,Multiplet,Multiplet
708939,Multiplet,Multiplet
643277,Multiplet,Multiplet
833995,SampleTag03_hs,SampleTag03_hs
819488,Multiplet,Multiplet
107029,SampleTag02_hs,SampleTag02_hs
844313,Multiplet,Multiplet
90096,Multiplet,Multiplet
458404,SampleTag03_hs,SampleTag03_hs
837065,Multiplet,Multiplet
422336,Multiplet,Multiplet
250192,Multiplet,Multiplet
552762,SampleTag03_hs,SampleTag03_hs
86482,Multiplet,Multiplet
443900,SampleTag03_hs,SampleTag03_hs
860711,Multiplet,Multiplet
498468,Multiplet,Multiplet
321792,SampleTag02_hs,SampleTag02_hs
549379,SampleTag02_hs,SampleTag02_hs
119176,Multiplet,Multiplet
454297,Multiplet,Multiplet
282565,Multiplet,Multiplet
829686,Multiplet,Multiplet
450696,SampleTag03_hs,SampleTag03_hs
561297,Multiplet,Multiplet
229608,Multiplet,Multiplet
455065,SampleTag01_hs,SampleTag01_hs
107256,SampleTag02_hs,SampleTag02_hs
713266,Multiplet,Multiplet
619148,Multiplet,Multiplet
448792,SampleTag03_hs,SampleTag03_hs
506331,Multiplet,Multiplet
611446,Multiplet,Multiplet
78567,SampleTag02_hs,SampleTag02_hs
589999,Multiplet,Multiplet
356358,Multiplet,Multiplet
81149,SampleTag03_hs,SampleTag03_hs
273557,SampleTag03_hs,SampleTag03_hs
632224,Multiplet,Multiplet
404897,Multiplet,Multiplet
77656,SampleTag03_hs,SampleTag03_hs
573591,SampleTag02_hs,SampleTag02_hs
367346,Multiplet,Multiplet
740265,SampleTag03_hs,SampleTag03_hs
633042,SampleTag01_hs,SampleTag01_hs
882446,Multiplet,Multiplet
428814,SampleTag03_hs,SampleTag03_hs
38689,SampleTag03_hs,SampleTag03_hs
2647,SampleTag01_hs,SampleTag01_hs
458738,SampleTag03_hs,SampleTag03_hs
311337,SampleTag02_hs,SampleTag02_hs
741438,SampleTag02_hs,SampleTag02_hs
358111,SampleTag02_hs,SampleTag02_hs
144318,Multiplet,Multiplet
11179,Multiplet,Multiplet
654320,Multiplet,Multiplet
69371,SampleTag03_hs,SampleTag03_hs
189792,Multiplet,Multiplet
249,SampleTag02_hs,SampleTag02_hs
428261,Multiplet,Multiplet
523191,SampleTag03_hs,SampleTag03_hs
466196,Multiplet,Multiplet
326837,SampleTag03_hs,SampleTag03_hs
452662,Multiplet,Multiplet
272772,SampleTag03_hs,SampleTag03_hs
7729,Multiplet,Multiplet
238268,Multiplet,Multiplet
840526,Multiplet,Multiplet
